one_way_max,avg_polarization,std_polarization,avg_avg_opinion,std_avg_opinion,n_runs,pol_sig,opinion_sig
2,0.06192873070369626,0.05195144614481123,0.0014332716019420338,0.038369587010788506,100,***,
3,0.0647876681732042,0.04793070883705447,8.296751818856473e-06,0.03263296061055031,100,***,
4,0.06665476365034402,0.05380791695909781,-0.008550767420877865,0.035284021354722375,100,***,*
5,0.06687135981404009,0.05477018984272804,-0.003436046735887357,0.03371547406795067,100,***,
6,0.07739949652727104,0.05749754858076163,0.00025419599915597,0.03327525768988726,100,***,
7,0.07556578242715477,0.053878284148026,0.0033087124626460327,0.034037556769658084,100,***,
8,0.05819084624938939,0.05237643286257966,-0.0052908336315404215,0.034498905280048064,100,***,
9,0.07131524421576171,0.058352323931036974,-0.001362950934315902,0.0330947010694995,100,***,
10,0.07259827527839981,0.05537356264211529,0.0018407446293715395,0.03962839019401956,100,***,
