start_polarization,final_polarization,start_avg_opinion,final_avg_opinion,avg_opinion,polarization,influencer_prob,reciprocal_max,seed,step_pol_gt_0.4,step_pol_gt_0.5,step_pol_gt_0.6,step_pol_gt_0.7,step_pol_gt_0.8,step_pol_gt_0.9,step_pol_gt_1.0
0.15226808915344625,0.3216253783264673,0.527105854645077,0.5690997932664008,0.041993938621323834,0.16935728917302106,0.1,2,1073185792,-1,-1,-1,-1,-1,-1,-1
0.11331337905135343,0.17325147057855944,0.4767994778455434,0.45043718352035483,-0.02636229432518855,0.059938091527206014,0.1,2,1421328398,-1,-1,-1,-1,-1,-1,-1
0.17361134038170195,0.2260485518775569,0.5102103697768868,0.4697896178632447,-0.04042075191364214,0.05243721149585495,0.1,2,2102309909,-1,-1,-1,-1,-1,-1,-1
0.11369255985250241,0.19138419563138903,0.5027207567354582,0.5258628680738958,0.023142111338437577,0.07769163577888662,0.1,2,2912294422,-1,-1,-1,-1,-1,-1,-1
0.22577410219806596,0.2700665064333823,0.48354660456597953,0.5006585169745754,0.017111912408595886,0.04429240423531636,0.1,2,2686552121,-1,-1,-1,-1,-1,-1,-1
0.18904591759143277,0.34497255609862576,0.4527483922653214,0.4104081937578207,-0.04234019850750065,0.155926638507193,0.1,2,3779043393,-1,-1,-1,-1,-1,-1,-1
0.17023870643349767,0.20917527815398032,0.492950385872062,0.5189519623603954,0.0260015764883334,0.03893657172048265,0.1,2,4043689541,-1,-1,-1,-1,-1,-1,-1
0.1743449508899358,0.21341716526314067,0.46022319909519,0.4750058954881829,0.0147826963929929,0.03907221437320488,0.1,2,509903954,-1,-1,-1,-1,-1,-1,-1
0.13755316594498726,0.25311734703358035,0.5582149741015457,0.596785905667713,0.0385709315661672,0.1155641810885931,0.1,2,1182512214,-1,-1,-1,-1,-1,-1,-1
0.1200378281097454,0.1648456989326581,0.5363144690419239,0.5140032657757656,-0.02231120326615832,0.044807870822912696,0.1,2,2454814301,-1,-1,-1,-1,-1,-1,-1
0.11978226738482994,0.23785657128394855,0.5066061094657343,0.4644670415712027,-0.042139067894531534,0.1180743038991186,0.1,2,1357848159,-1,-1,-1,-1,-1,-1,-1
0.18267970091320238,0.1877520638754814,0.5017998933805381,0.5084148272070096,0.006614933826471492,0.005072362962279031,0.1,2,2352602734,-1,-1,-1,-1,-1,-1,-1
0.14113615126681148,0.26463931900911847,0.5092761242312299,0.5684378984556716,0.05916177422444169,0.12350316774230699,0.1,2,1934943855,-1,-1,-1,-1,-1,-1,-1
0.1407233698925738,0.26069498034907235,0.5421359674521173,0.5664319701635648,0.024296002711447495,0.11997161045649854,0.1,2,4004999794,-1,-1,-1,-1,-1,-1,-1
0.13835212562108917,0.21890490755061293,0.5354858686972047,0.4955564518449881,-0.039929416852216626,0.08055278192952375,0.1,2,400168566,-1,-1,-1,-1,-1,-1,-1
0.1562118437563801,0.13935645652646048,0.567540484205034,0.5562686196331078,-0.011271864571926193,-0.01685538722991961,0.1,2,69910647,-1,-1,-1,-1,-1,-1,-1
0.1357985568767994,0.2689185082716764,0.48197395613708116,0.375679036924361,-0.10629491921272016,0.133119951394877,0.1,2,3322067577,-1,-1,-1,-1,-1,-1,-1
0.1591048085425345,0.22129439195730188,0.5107096914611238,0.565136366100435,0.05442667463931128,0.06218958341476738,0.1,2,2103230073,-1,-1,-1,-1,-1,-1,-1
0.187194753445423,0.236083359437833,0.5104209040260086,0.521764265986384,0.011343361960375442,0.04888860599241002,0.1,2,2348603005,-1,-1,-1,-1,-1,-1,-1
0.13884646958263083,0.23608140693813032,0.5432288559824753,0.5540569502845488,0.010828094302073543,0.09723493735549948,0.1,2,1497373310,-1,-1,-1,-1,-1,-1,-1
0.13654964660179617,0.261505179840394,0.4955122893980508,0.5542127112966981,0.058700421898647326,0.12495553323859784,0.1,2,3141937791,-1,-1,-1,-1,-1,-1,-1
0.12245711673238845,0.27808808010829966,0.48765414561057857,0.5446420177947261,0.056987872184147526,0.1556309633759112,0.1,2,1298174083,-1,-1,-1,-1,-1,-1,-1
0.1810023202706008,0.27615438708787166,0.4953252561375317,0.5136188498461448,0.01829359370861311,0.09515206681727084,0.1,2,3380942468,-1,-1,-1,-1,-1,-1,-1
0.1473145286765721,0.19550286269288747,0.48227689159692927,0.46629509193253904,-0.015981799664390228,0.048188334016315365,0.1,2,2548258954,-1,-1,-1,-1,-1,-1,-1
0.12412469995889351,0.17204434518601647,0.45147587987368243,0.4270516510381837,-0.024424228835498718,0.047919645227122956,0.1,2,4233553548,-1,-1,-1,-1,-1,-1,-1
0.19302643322566138,0.28899892937103866,0.4838632703358748,0.5798575060076038,0.09599423567172899,0.09597249614537728,0.1,2,1944488602,-1,-1,-1,-1,-1,-1,-1
0.19659592175500826,0.282630106945509,0.5088189030478576,0.4876763029322013,-0.021142600115656274,0.08603418519050074,0.1,2,3273332890,-1,-1,-1,-1,-1,-1,-1
0.17771624060870328,0.3043647590507492,0.48892186903600865,0.5529062456311811,0.06398437659517242,0.12664851844204594,0.1,2,1352326812,-1,-1,-1,-1,-1,-1,-1
0.1787654856850959,0.2145631487038569,0.5181125096678876,0.5329397141920295,0.01482720452414188,0.035797663018761,0.1,2,4277747884,-1,-1,-1,-1,-1,-1,-1
0.13675270569704587,0.2145909689818593,0.4270837839925904,0.34290380216090727,-0.08417998183168313,0.07783826328481344,0.1,2,1441050284,-1,-1,-1,-1,-1,-1,-1
