influencer_prob,avg_polarization,std_polarization,avg_avg_opinion,std_avg_opinion,n_runs,pol_sig,opinion_sig
0.0,0.19514854908267373,0.05904580898670796,0.015233740296095286,0.07790971371304023,100,***,.
0.1,0.06628347976992206,0.05336107722074452,0.010276249860278053,0.036109035124230714,100,***,**
0.2,0.04926926649100705,0.05318221299256701,-0.006409479229762816,0.0320454937086253,100,***,*
0.30000000000000004,0.04069710515875629,0.05429592968943462,-0.002659333097159394,0.036154908532657515,100,***,
0.4,0.04605770684823776,0.05134026684439692,-0.0011349205326783441,0.03666348925143467,100,***,
0.5,0.055987814035539006,0.05813835874807629,0.0018159974149427448,0.041801212019285126,100,***,
0.6000000000000001,0.06500809432180778,0.0604787163598511,0.0036262534211606618,0.04170279468968954,100,***,
0.7000000000000001,0.08184612107844613,0.06149906822274281,-0.011571831757359026,0.0493156245893225,100,***,*
0.8,0.10179994461557662,0.06913626558917642,0.00018158988450771407,0.05340759651283739,100,***,
0.9,0.12930725223528047,0.07404133440176289,-0.004992717522396033,0.06509529288600766,100,***,
1.0,0.20733929686255473,0.060765148223472426,0.005309877931583193,0.08186910181763975,100,***,
