start_polarization,final_polarization,start_avg_opinion,final_avg_opinion,avg_opinion,polarization,influencer_prob,reciprocal_max,one_way_max,seed,step_pol_gt_0.4,step_pol_gt_0.5,step_pol_gt_0.6,step_pol_gt_0.7,step_pol_gt_0.8,step_pol_gt_0.9,step_pol_gt_1.0
0.17700301127099205,0.19633905969670873,0.5288632435171419,0.5270124047810885,-0.0018508387360534062,0.01933604842571668,0.1,2.0,2,3814790664,-1,-1,-1,-1,-1,-1,-1
0.16961804817294532,0.24296836600685776,0.5114403453385389,0.5161038478884843,0.004663502549945409,0.07335031783391244,0.1,2.0,2,263638032,-1,-1,-1,-1,-1,-1,-1
0.16934191984662741,0.21379968554351447,0.4604057181165859,0.4423386439833753,-0.018067074133210625,0.04445776569688706,0.1,2.0,2,3189115921,-1,-1,-1,-1,-1,-1,-1
0.17815108371762162,0.26165311033346794,0.545460778773935,0.5727391509575911,0.02727837218365614,0.08350202661584633,0.1,2.0,2,1332637213,-1,-1,-1,-1,-1,-1,-1
0.13579755358855577,0.2605986968895172,0.503651716723759,0.47559171086059515,-0.028060005863163817,0.12480114330096143,0.1,2.0,2,1555354653,-1,-1,-1,-1,-1,-1,-1
0.20631293150910365,0.29962850300162547,0.5340909317178812,0.4816546427079516,-0.05243628900992964,0.09331557149252181,0.1,2.0,2,872823839,-1,-1,-1,-1,-1,-1,-1
0.1544234809958879,0.1325148234649768,0.5338966559188105,0.5261288841140717,-0.0077677718047388655,-0.02190865753091109,0.1,2.0,2,1911190051,-1,-1,-1,-1,-1,-1,-1
0.11533429306976234,0.23275981880774294,0.4852357537140726,0.5254223934484861,0.04018663973441344,0.1174255257379806,0.1,2.0,2,2854407203,-1,-1,-1,-1,-1,-1,-1
0.14167702827870585,0.3535172540140503,0.48263582325559334,0.41400943388511424,-0.0686263893704791,0.21184022573534447,0.1,2.0,2,503023652,-1,-1,-1,-1,-1,-1,-1
0.1702795140291208,0.14599980537462554,0.4938901508989684,0.4825055087721313,-0.011384642126837152,-0.024279708654495274,0.1,2.0,2,188171302,-1,-1,-1,-1,-1,-1,-1
0.1186219634898824,0.27900464846618583,0.5183731846055367,0.4746045707798126,-0.04376861382572411,0.16038268497630342,0.1,2.0,2,3641634354,-1,-1,-1,-1,-1,-1,-1
0.17121040164843904,0.25785752321945565,0.517655565409892,0.5771869517721998,0.059531386362307814,0.08664712157101662,0.1,2.0,2,148102710,-1,-1,-1,-1,-1,-1,-1
0.14963883994536298,0.24343578300111893,0.485272581955812,0.3773074235929697,-0.10796515836284232,0.09379694305575595,0.1,2.0,2,1294292028,-1,-1,-1,-1,-1,-1,-1
0.14327055241475167,0.1313778608507625,0.567602067683629,0.5674456981199472,-0.00015636956368181298,-0.011892691563989172,0.1,2.0,2,2010062912,-1,-1,-1,-1,-1,-1,-1
0.1435611211300226,0.3036128427359692,0.5026507937664939,0.49155649662181167,-0.011094297144682241,0.16005172160594663,0.1,2.0,2,3560894531,-1,-1,-1,-1,-1,-1,-1
0.1270704025855495,0.20463847732005058,0.5025900024511784,0.48612789418432156,-0.01646210826685679,0.07756807473450109,0.1,2.0,2,330885193,-1,-1,-1,-1,-1,-1,-1
0.23179690449366094,0.23500191502595313,0.5050355455893094,0.5614243867601205,0.05638884117081111,0.0032050105322921907,0.1,2.0,2,742805577,-1,-1,-1,-1,-1,-1,-1
0.20046773176070304,0.26637577202475393,0.5294664985092801,0.5122918901245691,-0.017174608384710965,0.0659080402640509,0.1,2.0,2,2614268507,-1,-1,-1,-1,-1,-1,-1
0.10131533342517882,0.20463549549274268,0.49696473633574734,0.528316680316434,0.031351943980686636,0.10332016206756386,0.1,2.0,2,3444282971,-1,-1,-1,-1,-1,-1,-1
0.1399284159377384,0.17970587867207488,0.46784473677714394,0.4895224226714587,0.021677685894314735,0.039777462734336494,0.1,2.0,2,244115551,-1,-1,-1,-1,-1,-1,-1
0.11772286068725762,0.18561116670764696,0.49908667617979274,0.4491003161778169,-0.049986360001975816,0.06788830602038934,0.1,2.0,2,276182112,-1,-1,-1,-1,-1,-1,-1
0.18753794540714594,0.25475900243895927,0.47914358218208036,0.4674764027392529,-0.011667179442827469,0.06722105703181333,0.1,2.0,2,1176368228,-1,-1,-1,-1,-1,-1,-1
0.15040067874972407,0.23062615548606252,0.5273720472065766,0.5443654150107455,0.016993367804168935,0.08022547673633845,0.1,2.0,2,2424418404,-1,-1,-1,-1,-1,-1,-1
0.11059183317044194,0.11371952531669334,0.5030865795756687,0.5113765554523804,0.008289975876711653,0.0031276921462514012,0.1,2.0,2,2935583334,-1,-1,-1,-1,-1,-1,-1
0.16148745696598577,0.2652484940241476,0.5215923771844486,0.5157937909284042,-0.005798586256044458,0.10376103705816181,0.1,2.0,2,2680717414,-1,-1,-1,-1,-1,-1,-1
0.13940464500766908,0.1412222879860999,0.5266517133416753,0.523477602122076,-0.003174111219599318,0.0018176429784308168,0.1,2.0,2,956998251,-1,-1,-1,-1,-1,-1,-1
0.13337766644784263,0.22816505074727925,0.49403373463572076,0.5351570337359585,0.04112329910023771,0.09478738429943662,0.1,2.0,2,3836900979,-1,-1,-1,-1,-1,-1,-1
0.1264755634382787,0.25480900037384324,0.47852970713524,0.510016133536485,0.031486426401244993,0.12833343693556454,0.1,2.0,2,736041588,-1,-1,-1,-1,-1,-1,-1
0.13440682428079762,0.1935122413447158,0.47775029276270736,0.4374755527579856,-0.040274740004721754,0.0591054170639182,0.1,2.0,2,3825706101,-1,-1,-1,-1,-1,-1,-1
